단지명,sumID,유형별,국민임대,공공임대,영구임대,행복주택,임대료,버스추정교통량,승용차추정교통량,대중교통접근성_상,대중교통접근성_중,대중교통접근성_하,생활서비스형상권,소매외식형상권,이동여가형상권,m_20g_pop,w_20g_pop,m_30-60g_pop,w_30-60g_pop,m_70-g_pop,w_70-g_pop,공유차량 이용건수
2021 화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1,0,0,0,210000,206621,4581338,1,0,0,145,925,291,10,8,108,37,29,13,366
2021 화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1,0,0,0,200000,169258,3124032,0,1,0,97,580,282,10,0,44,44,0,0,506
2021 화성봉담(2단지 동화)(국임),Z38,국민임대,1,0,0,0,160000,52475,1411828,0,1,0,135,603,258,17,25,106,120,12,37,277
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,72892,1138878,0,1,0,133,1161,198,40,32,168,210,35,70,83
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,72892,1138878,0,1,0,133,1161,198,49,54,175,221,34,44,83
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,102324,1414510,0,1,0,99,983,204,49,54,175,221,34,44,89
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,102324,1414510,0,1,0,99,983,204,14,17,57,60,0,0,89
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,영구임대,0,0,1,0,70000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A65블럭(26단지 레이크빌),Z69,공공임대,0,1,0,0,700000,0,0,0,0,1,17,264,43,0,0,0,0,0,0,400
2021 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,230000,46902,1428768,0,0,1,57,326,58,22,17,96,98,6,6,68
2021 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,140000,46902,1428768,0,0,1,57,326,58,11,10,82,89,0,0,68
2021 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,240000,48876,1584727,0,1,0,14,381,46,0,0,0,0,0,0,255
2021 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,160000,48876,1584727,0,1,0,14,381,46,10,8,108,37,29,13,255
2021 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,690000,0,0,1,0,0,10,71,33,0,0,0,0,0,0,488
2021 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,450000,0,0,1,0,0,10,71,33,0,0,0,0,0,0,488
2021 (NHF제3호)화성동탄2 A69블럭(24단지 스타힐스),Z65,공공임대,0,1,0,0,690000,0,0,0,1,0,16,211,51,0,0,0,0,0,0,567
2021 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,250000,29155,970549,1,0,0,23,183,32,0,0,0,0,0,0,291
2021 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,150000,29155,970549,1,0,0,23,183,32,6,0,24,26,0,0,291
2021 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,140000,18935,593533,0,0,1,11,99,7,11,10,82,89,0,0,246
2021 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,220000,18935,593533,0,0,1,11,99,7,34,38,220,215,9,11,246
2021 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,120000,209069,5077674,0,0,1,15,145,18,8,12,56,50,7,15,353
2021 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,230000,209069,5077674,0,0,1,15,145,18,0,0,0,0,0,0,353
2021 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,150000,96075,2941069,0,0,1,77,475,199,0,0,0,0,0,0,491
2021 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,230000,96075,2941069,0,0,1,77,475,199,0,0,0,0,0,0,491
2021 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,150000,61808,1864541,1,0,0,58,376,86,0,0,0,0,0,0,532
2021 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,230000,61808,1864541,1,0,0,58,376,86,0,0,0,0,0,0,532
2021 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,670000,0,0,1,0,0,8,63,34,0,0,0,0,0,0,396
2021 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,460000,0,0,1,0,0,8,63,34,0,0,0,0,0,0,396
2021 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,150000,12379,467452,1,0,0,9,117,30,0,0,0,0,0,0,289
2021 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,230000,12379,467452,1,0,0,9,117,30,0,0,0,0,0,0,289
2021 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,450000,0,0,0,0,1,8,66,7,0,0,0,0,0,0,394
2021 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,680000,0,0,0,0,1,8,66,7,0,0,0,0,0,0,394
"2021 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,90000,52132,1899235,0,0,1,71,318,91,13,14,80,86,0,0,868
"2021 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,170000,52132,1899235,0,0,1,71,318,91,0,0,0,0,0,0,868
2021 (NHF제12호)화성동탄2 A63블럭(23단지 센트럴써밋),Z66,공공임대,0,1,0,0,460000,0,0,0,0,1,13,150,44,0,0,0,0,0,0,365
2021 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,100000,54131,1390287,1,0,0,10,159,13,0,0,0,0,0,0,823
2021 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,190000,54131,1390287,1,0,0,10,159,13,0,0,0,0,0,0,823
"2021 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,140000,29411,1027959,1,0,0,18,183,37,0,0,0,0,0,0,238
"2021 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,220000,29411,1027959,1,0,0,18,183,37,0,0,0,0,0,0,238
"2021 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,90000,30342,1056589,1,0,0,16,110,4,19,16,227,214,8,9,172
"2021 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,160000,30342,1056589,1,0,0,16,110,4,15,26,113,117,0,0,172
2021 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,120000,45875,869691,1,0,0,10,126,41,0,0,0,0,0,0,532
2021 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,180000,45875,869691,1,0,0,10,126,41,0,0,0,0,0,0,532
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,영구임대,0,0,1,0,60000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,250000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,170000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,230000,104184,2475262,0,1,0,37,323,66,0,0,0,0,0,0,1932
2021 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,120000,104184,2475262,0,1,0,37,323,66,0,0,0,0,0,0,1932
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,270000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,180000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,영구임대,0,0,1,0,90000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,140000,19218,1174269,0,0,1,21,61,9,0,0,0,0,0,0,0
2021 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,70000,19218,1174269,0,0,1,21,61,9,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,140000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,210000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,영구임대,0,0,1,0,80000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2022 화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1,0,0,0,210000,131642,4581338,1,0,0,163,886,312,10,0,110,37,37,22,418
2022 화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1,0,0,0,200000,106004,3124032,0,1,0,122,578,310,10,0,51,45,0,0,375
2022 화성봉담(2단지 동화)(국임),Z38,국민임대,1,0,0,0,160000,33143,1411828,0,1,0,132,538,213,17,26,104,121,19,40,331
2022 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,43950,1138878,0,1,0,143,1003,216,36,25,165,198,35,73,55
2022 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,43950,1138878,0,1,0,143,1003,216,47,49,181,222,33,42,55
2022 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,62444,1414510,0,1,0,104,854,220,47,49,181,222,33,42,68
2022 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,62444,1414510,0,1,0,104,854,220,14,13,60,64,0,6,68
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,영구임대,0,0,1,0,70000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
2022 화성동탄2 A65블럭(26단지 레이크빌),Z69,공공임대,0,1,0,0,700000,0,0,0,0,1,29,333,80,0,0,0,0,0,0,279
2022 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,230000,30002,1428768,0,0,1,73,393,66,18,15,102,95,7,0,0
2022 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,140000,30002,1428768,0,0,1,73,393,66,7,10,86,86,0,0,0
2022 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,240000,31798,1584727,0,1,0,28,361,60,0,0,0,0,0,0,121
2022 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,160000,31798,1584727,0,1,0,28,361,60,10,0,110,37,37,22,121
2022 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,690000,0,0,1,0,0,22,108,74,0,0,0,0,0,0,478
2022 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,450000,0,0,1,0,0,22,108,74,0,0,0,0,0,0,478
2022 (NHF제3호)화성동탄2 A69블럭(24단지 스타힐스),Z65,공공임대,0,1,0,0,690000,0,0,0,1,0,30,301,123,0,0,0,0,0,0,459
2022 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,250000,20236,970549,1,0,0,39,254,40,0,0,0,0,0,0,382
2022 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,150000,20236,970549,1,0,0,39,254,40,0,0,17,28,0,0,382
2022 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,140000,12579,593533,0,0,1,12,92,14,7,10,86,86,0,0,165
2022 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,220000,12579,593533,0,0,1,12,92,14,24,33,223,222,9,13,165
2022 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,120000,147537,5077674,0,0,1,25,172,42,7,14,60,53,7,7,312
2022 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,230000,147537,5077674,0,0,1,25,172,42,0,0,0,0,0,0,312
2022 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,150000,89037,2941069,0,0,1,80,469,160,0,0,0,0,0,0,622
2022 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,230000,89037,2941069,0,0,1,63,469,160,0,0,0,0,0,0,622
2022 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,150000,68904,1864541,1,0,0,63,374,96,0,0,0,0,0,0,323
2022 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,230000,68904,1864541,1,0,0,17,374,96,0,0,0,0,0,0,323
2022 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,670000,0,0,1,0,0,17,100,76,0,0,0,0,0,0,369
2022 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,460000,0,0,1,0,0,16,100,76,0,0,0,0,0,0,369
2022 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,150000,9168,467452,1,0,0,16,137,54,0,0,0,0,0,0,164
2022 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,230000,9168,467452,1,0,0,14,137,54,0,0,0,0,0,0,164
2022 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,450000,0,0,0,0,1,20,96,43,0,0,0,0,0,0,333
2022 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,680000,0,0,0,0,1,23,96,43,0,0,0,0,0,0,333
"2022 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,90000,45439,1899235,0,0,1,79,325,97,12,14,79,88,0,0,450
"2022 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,170000,45439,1899235,0,0,1,53,325,97,0,0,0,0,0,0,450
2022 (NHF제12호)화성동탄2 A63블럭(23단지 센트럴써밋),Z66,공공임대,0,1,0,0,460000,0,0,0,0,1,14,202,100,0,0,0,0,0,0,358
2022 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,100000,35085,1390287,1,0,0,24,205,58,0,0,0,0,0,0,559
2022 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,190000,35085,1390287,1,0,0,32,205,58,0,0,0,0,0,0,559
"2022 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,140000,20591,1027959,1,0,0,32,250,44,0,0,0,0,0,0,299
"2022 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,220000,20591,1027959,1,0,0,46,250,44,0,0,0,0,0,0,299
"2022 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,90000,22156,1056589,1,0,0,18,89,3,20,19,230,215,14,10,284
"2022 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,160000,22156,1056589,1,0,0,20,89,3,12,20,113,116,0,0,284
2022 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,120000,35513,869691,1,0,0,21,177,96,0,0,0,0,0,0,614
2022 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,180000,35513,869691,1,0,0,46,177,96,0,0,0,0,0,0,614
2022 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,영구임대,0,0,1,0,60000,36113,800843,0,0,1,46,344,198,0,0,0,0,0,0,278
2022 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,250000,36113,800843,0,0,1,46,344,198,0,0,0,0,0,0,278
2022 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,170000,36113,800843,0,0,1,73,344,198,0,0,0,0,0,0,278
2022 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,230000,77477,2475262,0,1,0,73,427,115,0,0,0,0,0,0,2176
2022 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,120000,77477,2475262,0,1,0,170,427,115,0,0,0,0,0,0,2176
2022 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,270000,0,0,0,1,0,170,950,308,0,0,0,0,0,0,196
2022 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,180000,0,0,0,1,0,170,950,308,0,0,0,0,0,0,196
2022 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,영구임대,0,0,1,0,90000,0,0,0,1,0,131,950,308,0,0,0,0,0,0,196
2022 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,140000,14089,1174269,0,0,1,18,52,9,0,0,0,0,0,0,18
2022 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,70000,14089,1174269,0,0,1,80,52,9,0,0,0,0,0,0,18
2022 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,140000,0,0,0,0,1,34,92,10,0,0,0,0,0,0,6
2022 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,210000,0,0,0,0,1,34,92,10,0,0,0,0,0,0,6
2022 화성비봉 A-1블록 국민영구임대주택,Z59,영구임대,0,0,1,0,80000,0,0,0,0,1,69,92,10,0,0,0,0,0,0,6
2021 하남풍산2,Q2,국민임대,1,0,0,0,230000,82748,0,1,0,0,153,726,143,83,85,398,424,70,138,498
2021 미사강변도시 A12블록(분납),Q5,공공임대,0,1,0,0,220000,188229,0,0,1,0,43,861,73,86,82,635,621,71,56,60
2021 하남미사 A13BL,Q7,영구임대,0,0,1,0,80000,165367,0,0,0,1,92,1836,166,54,44,402,356,154,190,210
2021 하남미사 A13BL,Q7,국민임대,1,0,0,0,260000,165367,0,0,0,1,92,1836,166,74,60,556,492,213,263,210
2021 하남미사 A13BL,Q7,국민임대,1,0,0,0,190000,165367,0,0,0,1,56,1836,166,74,60,556,492,213,263,210
2021 미사강변 A29블록 10년 공임리츠,Q8,공공임대,0,1,0,0,490000,59921,0,0,1,0,56,896,78,134,108,854,907,108,100,338
2021 미사강변 A29블록 10년 공임리츠,Q8,공공임대,0,1,0,0,770000,59921,0,0,1,0,28,896,78,134,108,854,907,108,100,338
2021 하남미사 17단지,Q9,국민임대,1,0,0,0,260000,74639,0,0,0,1,28,754,68,106,120,987,1006,216,263,2087
2021 하남미사 17단지,Q9,국민임대,1,0,0,0,210000,74639,0,0,0,1,24,754,68,106,120,987,1006,216,263,2087
2021 (NHF제4호)하남미사A4,Q10,공공임대,0,1,0,0,760000,105179,0,0,0,1,24,512,51,112,98,795,808,73,67,476
2021 (NHF제4호)하남미사A4,Q10,공공임대,0,1,0,0,500000,105179,0,0,0,1,65,512,51,112,98,795,808,73,67,476
2021 미사강변도시 A24블록 10년 공임리츠,Q11,공공임대,0,1,0,0,750000,104502,0,0,0,1,65,918,88,110,97,737,780,81,78,134
2021 미사강변도시 A24블록 10년 공임리츠,Q11,공공임대,0,1,0,0,500000,104502,0,0,0,1,78,918,88,110,97,737,780,81,78,134
2021 미사강변도시 A25블록 10년 공임리츠,Q12,공공임대,0,1,0,0,760000,101377,0,0,1,0,46,898,81,82,98,717,751,43,40,249
2021 하남미사 A14블록,Q13,국민임대,1,0,0,0,240000,141714,0,0,0,1,46,877,73,94,96,815,860,188,225,1016
2021 하남미사 A14블록,Q13,국민임대,1,0,0,0,160000,141714,0,0,0,1,57,877,73,94,96,815,860,188,225,1016
2021 하남미사 C3BL 행복주택,Q14,행복주택,0,0,0,1,160000,85424,0,0,1,0,57,886,83,126,270,1075,890,47,87,2248
2021 하남미사 C3BL 행복주택,Q14,행복주택,0,0,0,1,290000,85424,0,0,1,0,46,886,83,126,270,1075,890,47,87,2248
"2021 하남감일 10단지(10년, 분납)B5블록",Q15,공공임대,0,1,0,0,730000,27136,0,0,1,0,51,125,12,73,79,687,708,43,35,335
2021 하남감일 1단지(10년공임)A1블록,Q16,공공임대,0,1,0,0,550000,37481,0,0,0,1,59,155,15,70,63,506,540,64,59,743
2021 감일 포엠포레아파트,Q17,공공임대,0,1,0,0,520000,27838,0,1,0,0,71,170,15,71,78,777,737,118,141,293
2021 하남감일 6단지(행복주택)A6블록,Q18,행복주택,0,0,0,1,150000,32979,0,1,0,0,71,185,15,73,110,317,249,23,22,1169
2021 하남감일 6단지(행복주택)A6블록,Q18,행복주택,0,0,0,1,240000,32979,0,1,0,0,112,185,15,73,110,317,249,23,22,1169
"2021 하남감일 8단지(국민, 영구)A3블록",Q19,국민임대,1,0,0,0,160000,17961,0,0,0,1,112,278,22,16,16,136,119,55,46,509
"2021 하남감일 8단지(국민, 영구)A3블록",Q19,국민임대,1,0,0,0,240000,17961,741260,0,0,1,112,278,22,16,16,136,119,55,46,509
"2021 하남감일 8단지(국민, 영구)A3블록",Q19,영구임대,0,0,1,0,70000,17961,741260,0,0,1,71,278,22,13,12,105,93,42,35,509
2022 하남풍산2,Q2,국민임대,1,0,0,0,230000,1392496,2351955,1,0,0,173,761,175,74,71,383,415,87,139,337
2022 미사강변도시 A12블록(분납),Q5,공공임대,0,1,0,0,220000,2728571,3401430,0,1,0,75,1001,155,88,89,637,624,80,58,31
2022 하남미사 A13BL,Q7,영구임대,0,0,1,0,80000,2480455,3066425,0,0,1,166,2124,342,51,40,400,350,158,197,238
2022 하남미사 A13BL,Q7,국민임대,1,0,0,0,260000,2480455,3066425,0,0,1,166,2124,342,70,55,552,484,219,273,238
2022 하남미사 A13BL,Q7,국민임대,1,0,0,0,190000,2480455,3066425,0,0,1,96,2124,342,70,55,552,484,219,273,238
2022 미사강변 A29블록 10년 공임리츠,Q8,공공임대,0,1,0,0,490000,1265739,3071934,0,1,0,96,1073,161,130,110,843,894,117,110,200
2022 미사강변 A29블록 10년 공임리츠,Q8,공공임대,0,1,0,0,770000,1265739,3071934,0,1,0,54,1073,161,130,110,843,894,117,110,200
2022 하남미사 17단지,Q9,국민임대,1,0,0,0,260000,1338055,1531264,0,0,1,54,911,151,97,102,969,988,227,284,1916
2022 하남미사 17단지,Q9,국민임대,1,0,0,0,210000,1338055,1531264,0,0,1,43,911,151,97,102,969,988,227,284,1916
2022 (NHF제4호)하남미사A4,Q10,공공임대,0,1,0,0,760000,1979999,2250956,0,0,1,43,570,93,102,103,791,808,72,77,722
2022 (NHF제4호)하남미사A4,Q10,공공임대,0,1,0,0,500000,1979999,2250956,0,0,1,114,570,93,102,103,791,808,72,77,722
2022 미사강변도시 A24블록 10년 공임리츠,Q11,공공임대,0,1,0,0,750000,2064689,2782352,0,0,1,114,1116,191,101,98,732,780,87,88,202
2022 미사강변도시 A24블록 10년 공임리츠,Q11,공공임대,0,1,0,0,500000,2064689,2782352,0,0,1,130,1116,191,101,98,732,780,87,88,202
2022 미사강변도시 A25블록 10년 공임리츠,Q12,공공임대,0,1,0,0,760000,2042614,2974226,0,1,0,81,1123,174,77,96,715,742,45,49,406
2022 하남미사 A14블록,Q13,국민임대,1,0,0,0,240000,1953055,3152838,0,0,1,81,1014,151,85,76,802,847,197,250,571
2022 하남미사 A14블록,Q13,국민임대,1,0,0,0,160000,1953055,3152838,0,0,1,99,1014,151,85,76,802,847,197,250,571
2022 하남미사 C3BL 행복주택,Q14,행복주택,0,0,0,1,160000,1604556,2963551,0,1,0,99,1081,183,120,248,1004,868,56,98,1582
2022 하남미사 C3BL 행복주택,Q14,행복주택,0,0,0,1,290000,1604556,2963551,0,1,0,35,1081,183,120,248,1004,868,56,98,1582
"2022 하남감일 10단지(10년, 분납)B5블록",Q15,공공임대,0,1,0,0,730000,976443,1069511,0,1,0,51,168,70,71,65,679,705,47,39,262
2022 하남감일 1단지(10년공임)A1블록,Q16,공공임대,0,1,0,0,550000,1678567,2556386,0,0,1,51,193,69,65,61,492,545,62,64,853
2022 감일 포엠포레아파트,Q17,공공임대,0,1,0,0,520000,1126582,1265901,1,0,0,66,217,71,53,67,773,738,141,159,366
2022 하남감일 6단지(행복주택)A6블록,Q18,행복주택,0,0,0,1,150000,1443921,1804492,1,0,0,66,230,72,45,86,326,273,23,24,733
2022 하남감일 6단지(행복주택)A6블록,Q18,행복주택,0,0,0,1,240000,1443921,1804492,1,0,0,92,230,72,45,86,326,273,23,24,733
"2022 하남감일 8단지(국민, 영구)A3블록",Q19,국민임대,1,0,0,0,160000,741260,807476,0,0,1,92,376,132,16,14,141,120,60,50,819
"2022 하남감일 8단지(국민, 영구)A3블록",Q19,국민임대,1,0,0,0,240000,741260,807476,0,0,1,92,376,132,16,14,141,120,60,50,819
"2022 하남감일 8단지(국민, 영구)A3블록",Q19,영구임대,0,0,1,0,70000,741260,807476,0,0,1,69,376,132,12,10,110,93,47,39,819
,,,,,,,,,,,,,,,,,,,,,,476.8392857
